,Make,Event.Id,fatal_comm_agg,comm_fatality_ratio
10,AERONCA,22,1.0,0.045454545454545456
165,DIAMOND AIRCRAFT IND INC,29,4.0,0.13793103448275862
492,WEATHERLY,7,1.0,0.14285714285714285
312,LUSCOMBE,7,1.0,0.14285714285714285
465,THRUSH AIRCRAFT INC,6,1.0,0.16666666666666666
364,PILATUS,12,2.0,0.16666666666666666
370,PIPER AIRCRAFT INC,6,1.0,0.16666666666666666
493,WEATHERLY AVIATION CO INC,6,1.0,0.16666666666666666
6,AERO COMMANDER,30,5.0,0.16666666666666666
163,DIAMOND,29,5.0,0.1724137931034483
